sku,shape,carat,color,clarity,cut,price,url,image_url,type,lab
BN1195,Princess,0.73,G,VS1,Ideal,2916,https://www.bluenile.com/diamond-details/1195,https://example.invalid/1195.jpg,Natural,GIA
BN1196,Princess,0.72,F,VS1,Very Good,2861,https://www.bluenile.com/diamond-details/1196,https://example.invalid/1196.jpg,Natural,GIA
LD1197,Princess,0.78,H,VS1,Ideal,428,https://www.bluenile.com/diamond-details/1197,https://example.invalid/1197.jpg,Lab-Grown,IGI
LD1198,Princess,0.77,E,VVS1,Excellent,651,https://www.bluenile.com/diamond-details/1198,https://example.invalid/1198.jpg,Lab-Grown,IGI
LD1199,Princess,0.81,D,VVS2,Ideal,642,https://www.bluenile.com/diamond-details/1199,https://example.invalid/1199.jpg,Lab-Grown,IGI
LD1200,Princess,0.75,D,VS1,Very Good,625,https://www.bluenile.com/diamond-details/1200,https://example.invalid/1200.jpg,Lab-Grown,IGI
BN1201,Princess,1.04,E,VS2,Ideal,7191,https://www.bluenile.com/diamond-details/1201,https://example.invalid/1201.jpg,Natural,GIA
BN1202,Princess,1.05,E,VVS2,Very Good,7624,https://www.bluenile.com/diamond-details/1202,https://example.invalid/1202.jpg,Natural,GIA
BN1203,Princess,1.06,H,VVS1,Very Good,5886,https://www.bluenile.com/diamond-details/1203,https://example.invalid/1203.jpg,Natural,GIA
BN1204,Princess,1.06,H,VS1,Very Good,5609,https://www.bluenile.com/diamond-details/1204,https://example.invalid/1204.jpg,Natural,GIA
LD1205,Princess,1.04,G,VVS2,Ideal,972,https://www.bluenile.com/diamond-details/1205,https://example.invalid/1205.jpg,Lab-Grown,IGI
LD1206,Princess,1.05,G,VS2,Excellent,788,https://www.bluenile.com/diamond-details/1206,https://example.invalid/1206.jpg,Lab-Grown,IGI
LD1207,Princess,1.07,G,VVS1,Ideal,980,https://www.bluenile.com/diamond-details/1207,https://example.invalid/1207.jpg,Lab-Grown,IGI
LD1208,Princess,1.04,G,VVS1,Very Good,992,https://www.bluenile.com/diamond-details/1208,https://example.invalid/1208.jpg,Lab-Grown,IGI
BN1209,Princess,1.27,E,VVS1,Very Good,9902,https://www.bluenile.com/diamond-details/1209,https://example.invalid/1209.jpg,Natural,GIA
BN1210,Princess,1.27,F,VVS1,Very Good,10412,https://www.bluenile.com/diamond-details/1210,https://example.invalid/1210.jpg,Natural,GIA
BN1211,Princess,1.2,H,VS1,Ideal,6351,https://www.bluenile.com/diamond-details/1211,https://example.invalid/1211.jpg,Natural,GIA
BN1212,Princess,1.21,H,VVS2,Very Good,7236,https://www.bluenile.com/diamond-details/1212,https://example.invalid/1212.jpg,Natural,GIA
LD1213,Princess,1.22,F,VS1,Very Good,1209,https://www.bluenile.com/diamond-details/1213,https://example.invalid/1213.jpg,Lab-Grown,IGI
LD1214,Princess,1.22,G,VS1,Very Good,1005,https://www.bluenile.com/diamond-details/1214,https://example.invalid/1214.jpg,Lab-Grown,IGI
LD1215,Princess,1.36,G,VVS2,Excellent,1179,https://www.bluenile.com/diamond-details/1215,https://example.invalid/1215.jpg,Lab-Grown,IGI
LD1216,Princess,1.26,H,VS1,Very Good,1000,https://www.bluenile.com/diamond-details/1216,https://example.invalid/1216.jpg,Lab-Grown,IGI
BN1217,Princess,1.56,H,VS1,Very Good,10700,https://www.bluenile.com/diamond-details/1217,https://example.invalid/1217.jpg,Natural,GIA
BN1218,Princess,1.55,D,VVS1,Very Good,19232,https://www.bluenile.com/diamond-details/1218,https://example.invalid/1218.jpg,Natural,GIA
BN1219,Princess,1.51,D,VS1,Excellent,13838,https://www.bluenile.com/diamond-details/1219,https://example.invalid/1219.jpg,Natural,GIA
BN1220,Princess,1.6,E,VS2,Excellent,13998,https://www.bluenile.com/diamond-details/1220,https://example.invalid/1220.jpg,Natural,GIA
LD1221,Princess,1.45,F,VS2,Ideal,1590,https://www.bluenile.com/diamond-details/1221,https://example.invalid/1221.jpg,Lab-Grown,IGI
LD1222,Princess,1.55,F,VVS1,Very Good,2173,https://www.bluenile.com/diamond-details/1222,https://example.invalid/1222.jpg,Lab-Grown,IGI
LD1223,Princess,1.52,F,VVS1,Very Good,2217,https://www.bluenile.com/diamond-details/1223,https://example.invalid/1223.jpg,Lab-Grown,IGI
LD1224,Princess,1.44,H,VVS1,Ideal,1631,https://www.bluenile.com/diamond-details/1224,https://example.invalid/1224.jpg,Lab-Grown,IGI
BN1225,Princess,2.12,G,VS1,Ideal,21053,https://www.bluenile.com/diamond-details/1225,https://example.invalid/1225.jpg,Natural,GIA
BN1226,Princess,1.95,E,VVS2,Very Good,24926,https://www.bluenile.com/diamond-details/1226,https://example.invalid/1226.jpg,Natural,GIA
BN1227,Princess,2.13,H,VS2,Very Good,14798,https://www.bluenile.com/diamond-details/1227,https://example.invalid/1227.jpg,Natural,GIA
BN1228,Princess,1.94,F,VS2,Excellent,17273,https://www.bluenile.com/diamond-details/1228,https://example.invalid/1228.jpg,Natural,GIA
LD1229,Princess,2.15,E,VS2,Excellent,3671,https://www.bluenile.com/diamond-details/1229,https://example.invalid/1229.jpg,Lab-Grown,IGI
LD1230,Princess,2.11,D,VS1,Ideal,3701,https://www.bluenile.com/diamond-details/1230,https://example.invalid/1230.jpg,Lab-Grown,IGI
LD1231,Princess,1.99,E,VS1,Ideal,3186,https://www.bluenile.com/diamond-details/1231,https://example.invalid/1231.jpg,Lab-Grown,IGI
LD1232,Princess,2.08,F,VS1,Excellent,3237,https://www.bluenile.com/diamond-details/1232,https://example.invalid/1232.jpg,Lab-Grown,IGI
BN1233,Princess,2.49,G,VS1,Ideal,22137,https://www.bluenile.com/diamond-details/1233,https://example.invalid/1233.jpg,Natural,GIA
BN1234,Princess,2.47,F,VS1,Very Good,25598,https://www.bluenile.com/diamond-details/1234,https://example.invalid/1234.jpg,Natural,GIA
BN1235,Princess,2.46,G,VS1,Ideal,23629,https://www.bluenile.com/diamond-details/1235,https://example.invalid/1235.jpg,Natural,GIA
BN1236,Princess,2.62,G,VS1,Ideal,25928,https://www.bluenile.com/diamond-details/1236,https://example.invalid/1236.jpg,Natural,GIA
LD1237,Princess,2.44,H,VS2,Ideal,2876,https://www.bluenile.com/diamond-details/1237,https://example.invalid/1237.jpg,Lab-Grown,IGI
LD1238,Princess,2.71,G,VS2,Excellent,3284,https://www.bluenile.com/diamond-details/1238,https://example.invalid/1238.jpg,Lab-Grown,IGI
LD1239,Princess,2.6,G,VVS2,Ideal,3854,https://www.bluenile.com/diamond-details/1239,https://example.invalid/1239.jpg,Lab-Grown,IGI
LD1240,Princess,2.59,F,VVS2,Ideal,4878,https://www.bluenile.com/diamond-details/1240,https://example.invalid/1240.jpg,Lab-Grown,IGI
BN1241,Princess,2.97,H,VS2,Excellent,29488,https://www.bluenile.com/diamond-details/1241,https://example.invalid/1241.jpg,Natural,GIA
BN1242,Princess,2.98,H,VVS2,Excellent,39382,https://www.bluenile.com/diamond-details/1242,https://example.invalid/1242.jpg,Natural,GIA
BN1243,Princess,2.89,E,VVS2,Ideal,51860,https://www.bluenile.com/diamond-details/1243,https://example.invalid/1243.jpg,Natural,GIA
BN1244,Princess,3.04,F,VS2,Very Good,37245,https://www.bluenile.com/diamond-details/1244,https://example.invalid/1244.jpg,Natural,GIA
LD1245,Princess,3.12,D,VS2,Excellent,6618,https://www.bluenile.com/diamond-details/1245,https://example.invalid/1245.jpg,Lab-Grown,IGI
LD1246,Princess,3.02,D,VVS2,Ideal,8639,https://www.bluenile.com/diamond-details/1246,https://example.invalid/1246.jpg,Lab-Grown,IGI
LD1247,Princess,3.11,H,VS1,Excellent,4997,https://www.bluenile.com/diamond-details/1247,https://example.invalid/1247.jpg,Lab-Grown,IGI
LD1248,Princess,3.2,E,VS1,Very Good,6852,https://www.bluenile.com/diamond-details/1248,https://example.invalid/1248.jpg,Lab-Grown,IGI
BN1249,Princess,4.21,G,VS2,Very Good,53797,https://www.bluenile.com/diamond-details/1249,https://example.invalid/1249.jpg,Natural,GIA
BN1250,Princess,4.29,F,VVS1,Very Good,95385,https://www.bluenile.com/diamond-details/1250,https://example.invalid/1250.jpg,Natural,GIA
BN1251,Princess,3.87,H,VVS2,Excellent,60617,https://www.bluenile.com/diamond-details/1251,https://example.invalid/1251.jpg,Natural,GIA
BN1252,Princess,4.07,H,VVS1,Very Good,63313,https://www.bluenile.com/diamond-details/1252,https://example.invalid/1252.jpg,Natural,GIA
LD1253,Princess,3.86,H,VS2,Very Good,7158,https://www.bluenile.com/diamond-details/1253,https://example.invalid/1253.jpg,Lab-Grown,IGI
LD1254,Princess,3.92,D,VS2,Excellent,11364,https://www.bluenile.com/diamond-details/1254,https://example.invalid/1254.jpg,Lab-Grown,IGI
LD1255,Princess,4.33,E,VVS1,Excellent,13888,https://www.bluenile.com/diamond-details/1255,https://example.invalid/1255.jpg,Lab-Grown,IGI
LD1256,Princess,4.17,G,VS1,Very Good,9649,https://www.bluenile.com/diamond-details/1256,https://example.invalid/1256.jpg,Lab-Grown,IGI
BN1257,Princess,5.0,D,VVS1,Very Good,128142,https://www.bluenile.com/diamond-details/1257,https://example.invalid/1257.jpg,Natural,GIA
BN1258,Princess,5.04,G,VVS1,Excellent,84032,https://www.bluenile.com/diamond-details/1258,https://example.invalid/1258.jpg,Natural,GIA
BN1259,Princess,5.09,E,VS2,Excellent,84825,https://www.bluenile.com/diamond-details/1259,https://example.invalid/1259.jpg,Natural,GIA
BN1260,Princess,4.83,F,VVS2,Ideal,98887,https://www.bluenile.com/diamond-details/1260,https://example.invalid/1260.jpg,Natural,GIA
LD1261,Princess,5.21,G,VVS2,Very Good,12802,https://www.bluenile.com/diamond-details/1261,https://example.invalid/1261.jpg,Lab-Grown,IGI
LD1262,Princess,4.86,H,VS2,Very Good,8579,https://www.bluenile.com/diamond-details/1262,https://example.invalid/1262.jpg,Lab-Grown,IGI
LD1263,Princess,5.35,E,VS1,Ideal,16209,https://www.bluenile.com/diamond-details/1263,https://example.invalid/1263.jpg,Lab-Grown,IGI
LD1264,Princess,4.92,G,VVS2,Ideal,12860,https://www.bluenile.com/diamond-details/1264,https://example.invalid/1264.jpg,Lab-Grown,IGI
BN1265,Cushion,0.27,H,VVS1,Excellent,440,https://www.bluenile.com/diamond-details/1265,https://example.invalid/1265.jpg,Natural,GIA
BN1266,Cushion,0.26,D,VVS1,Very Good,697,https://www.bluenile.com/diamond-details/1266,https://example.invalid/1266.jpg,Natural,GIA
BN1267,Cushion,0.26,F,VS1,Excellent,450,https://www.bluenile.com/diamond-details/1267,https://example.invalid/1267.jpg,Natural,GIA
BN1268,Cushion,0.24,E,VS1,Very Good,419,https://www.bluenile.com/diamond-details/1268,https://example.invalid/1268.jpg,Natural,GIA
LD1269,Cushion,0.24,E,VVS2,Excellent,84,https://www.bluenile.com/diamond-details/1269,https://example.invalid/1269.jpg,Lab-Grown,IGI
LD1270,Cushion,0.24,D,VS1,Excellent,78,https://www.bluenile.com/diamond-details/1270,https://example.invalid/1270.jpg,Lab-Grown,IGI
LD1271,Cushion,0.24,D,VS2,Excellent,62,https://www.bluenile.com/diamond-details/1271,https://example.invalid/1271.jpg,Lab-Grown,IGI
LD1272,Cushion,0.26,E,VS2,Excellent,73,https://www.bluenile.com/diamond-details/1272,https://example.invalid/1272.jpg,Lab-Grown,IGI
BN1273,Cushion,0.54,D,VS1,Very Good,2038,https://www.bluenile.com/diamond-details/1273,https://example.invalid/1273.jpg,Natural,GIA
BN1274,Cushion,0.48,D,VVS2,Very Good,2125,https://www.bluenile.com/diamond-details/1274,https://example.invalid/1274.jpg,Natural,GIA
BN1275,Cushion,0.49,E,VVS2,Ideal,1945,https://www.bluenile.com/diamond-details/1275,https://example.invalid/1275.jpg,Natural,GIA
BN1276,Cushion,0.5,F,VVS2,Very Good,2057,https://www.bluenile.com/diamond-details/1276,https://example.invalid/1276.jpg,Natural,GIA
LD1277,Cushion,0.53,F,VVS2,Excellent,317,https://www.bluenile.com/diamond-details/1277,https://example.invalid/1277.jpg,Lab-Grown,IGI
LD1278,Cushion,0.51,F,VS2,Very Good,251,https://www.bluenile.com/diamond-details/1278,https://example.invalid/1278.jpg,Lab-Grown,IGI
LD1279,Cushion,0.51,D,VVS2,Very Good,338,https://www.bluenile.com/diamond-details/1279,https://example.invalid/1279.jpg,Lab-Grown,IGI
LD1280,Cushion,0.51,E,VS2,Ideal,262,https://www.bluenile.com/diamond-details/1280,https://example.invalid/1280.jpg,Lab-Grown,IGI
BN1281,Cushion,0.74,D,VS1,Very Good,3578,https://www.bluenile.com/diamond-details/1281,https://example.invalid/1281.jpg,Natural,GIA
BN1282,Cushion,0.72,G,VS2,Very Good,2444,https://www.bluenile.com/diamond-details/1282,https://example.invalid/1282.jpg,Natural,GIA
BN1283,Cushion,0.81,H,VVS2,Excellent,3300,https://www.bluenile.com/diamond-details/1283,https://example.invalid/1283.jpg,Natural,GIA
BN1284,Cushion,0.75,E,VVS2,Excellent,4134,https://www.bluenile.com/diamond-details/1284,https://example.invalid/1284.jpg,Natural,GIA
LD1285,Cushion,0.74,E,VS2,Very Good,513,https://www.bluenile.com/diamond-details/1285,https://example.invalid/1285.jpg,Lab-Grown,IGI
LD1286,Cushion,0.77,H,VS2,Ideal,362,https://www.bluenile.com/diamond-details/1286,https://example.invalid/1286.jpg,Lab-Grown,IGI
LD1287,Cushion,0.73,G,VS2,Excellent,367,https://www.bluenile.com/diamond-details/1287,https://example.invalid/1287.jpg,Lab-Grown,IGI
LD1288,Cushion,0.72,E,VVS2,Excellent,533,https://www.bluenile.com/diamond-details/1288,https://example.invalid/1288.jpg,Lab-Grown,IGI
BN1289,Cushion,1.03,G,VS1,Very Good,6415,https://www.bluenile.com/diamond-details/1289,https://example.invalid/1289.jpg,Natural,GIA
BN1290,Cushion,1.03,H,VS2,Ideal,4674,https://www.bluenile.com/diamond-details/1290,https://example.invalid/1290.jpg,Natural,GIA
BN1291,Cushion,1.03,G,VVS2,Ideal,6102,https://www.bluenile.com/diamond-details/1291,https://example.invalid/1291.jpg,Natural,GIA
BN1292,Cushion,1.05,F,VS1,Ideal,6390,https://www.bluenile.com/diamond-details/1292,https://example.invalid/1292.jpg,Natural,GIA
LD1293,Cushion,1.04,E,VS1,Excellent,1064,https://www.bluenile.com/diamond-details/1293,https://example.invalid/1293.jpg,Lab-Grown,IGI
LD1294,Cushion,1.07,H,VS1,Very Good,863,https://www.bluenile.com/diamond-details/1294,https://example.invalid/1294.jpg,Lab-Grown,IGI
LD1295,Cushion,1.05,H,VVS2,Ideal,838,https://www.bluenile.com/diamond-details/1295,https://example.invalid/1295.jpg,Lab-Grown,IGI
LD1296,Cushion,1.08,F,VS2,Excellent,904,https://www.bluenile.com/diamond-details/1296,https://example.invalid/1296.jpg,Lab-Grown,IGI
BN1297,Cushion,1.22,G,VS1,Ideal,7654,https://www.bluenile.com/diamond-details/1297,https://example.invalid/1297.jpg,Natural,GIA
BN1298,Cushion,1.32,G,VVS2,Excellent,7865,https://www.bluenile.com/diamond-details/1298,https://example.invalid/1298.jpg,Natural,GIA
BN1299,Cushion,1.35,F,VS1,Ideal,9565,https://www.bluenile.com/diamond-details/1299,https://example.invalid/1299.jpg,Natural,GIA
BN1300,Cushion,1.21,G,VVS1,Excellent,8496,https://www.bluenile.com/diamond-details/1300,https://example.invalid/1300.jpg,Natural,GIA
LD1301,Cushion,1.36,F,VVS1,Ideal,1434,https://www.bluenile.com/diamond-details/1301,https://example.invalid/1301.jpg,Lab-Grown,IGI
LD1302,Cushion,1.3,G,VS2,Ideal,1063,https://www.bluenile.com/diamond-details/1302,https://example.invalid/1302.jpg,Lab-Grown,IGI
LD1303,Cushion,1.31,H,VVS1,Excellent,1278,https://www.bluenile.com/diamond-details/1303,https://example.invalid/1303.jpg,Lab-Grown,IGI
LD1304,Cushion,1.32,H,VS1,Excellent,1056,https://www.bluenile.com/diamond-details/1304,https://example.invalid/1304.jpg,Lab-Grown,IGI
BN1305,Cushion,1.46,G,VVS2,Excellent,11022,https://www.bluenile.com/diamond-details/1305,https://example.invalid/1305.jpg,Natural,GIA
BN1306,Cushion,1.46,G,VS1,Excellent,11029,https://www.bluenile.com/diamond-details/1306,https://example.invalid/1306.jpg,Natural,GIA
BN1307,Cushion,1.58,E,VVS2,Ideal,16756,https://www.bluenile.com/diamond-details/1307,https://example.invalid/1307.jpg,Natural,GIA
BN1308,Cushion,1.53,H,VVS1,Excellent,11678,https://www.bluenile.com/diamond-details/1308,https://example.invalid/1308.jpg,Natural,GIA
LD1309,Cushion,1.62,E,VVS2,Ideal,2543,https://www.bluenile.com/diamond-details/1309,https://example.invalid/1309.jpg,Lab-Grown,IGI
LD1310,Cushion,1.6,D,VS2,Very Good,2001,https://www.bluenile.com/diamond-details/1310,https://example.invalid/1310.jpg,Lab-Grown,IGI
LD1311,Cushion,1.47,E,VVS2,Excellent,2011,https://www.bluenile.com/diamond-details/1311,https://example.invalid/1311.jpg,Lab-Grown,IGI
LD1312,Cushion,1.53,E,VVS1,Excellent,2430,https://www.bluenile.com/diamond-details/1312,https://example.invalid/1312.jpg,Lab-Grown,IGI
BN1313,Cushion,2.13,F,VVS2,Ideal,24946,https://www.bluenile.com/diamond-details/1313,https://example.invalid/1313.jpg,Natural,GIA
BN1314,Cushion,1.97,E,VVS1,Very Good,27286,https://www.bluenile.com/diamond-details/1314,https://example.invalid/1314.jpg,Natural,GIA
BN1315,Cushion,2.11,H,VVS2,Ideal,20234,https://www.bluenile.com/diamond-details/1315,https://example.invalid/1315.jpg,Natural,GIA
BN1316,Cushion,1.99,G,VS2,Ideal,15269,https://www.bluenile.com/diamond-details/1316,https://example.invalid/1316.jpg,Natural,GIA
LD1317,Cushion,2.16,F,VVS2,Ideal,3562,https://www.bluenile.com/diamond-details/1317,https://example.invalid/1317.jpg,Lab-Grown,IGI
LD1318,Cushion,2.11,H,VS1,Ideal,2927,https://www.bluenile.com/diamond-details/1318,https://example.invalid/1318.jpg,Lab-Grown,IGI
LD1319,Cushion,2.04,E,VS1,Very Good,3884,https://www.bluenile.com/diamond-details/1319,https://example.invalid/1319.jpg,Lab-Grown,IGI
LD1320,Cushion,2.13,E,VVS1,Excellent,4539,https://www.bluenile.com/diamond-details/1320,https://example.invalid/1320.jpg,Lab-Grown,IGI
BN1321,Cushion,2.47,E,VVS2,Ideal,33081,https://www.bluenile.com/diamond-details/1321,https://example.invalid/1321.jpg,Natural,GIA
BN1322,Cushion,2.55,F,VS1,Ideal,28953,https://www.bluenile.com/diamond-details/1322,https://example.invalid/1322.jpg,Natural,GIA
BN1323,Cushion,2.52,E,VVS2,Excellent,34000,https://www.bluenile.com/diamond-details/1323,https://example.invalid/1323.jpg,Natural,GIA
BN1324,Cushion,2.48,G,VS1,Excellent,23103,https://www.bluenile.com/diamond-details/1324,https://example.invalid/1324.jpg,Natural,GIA
LD1325,Cushion,2.66,F,VS1,Ideal,4423,https://www.bluenile.com/diamond-details/1325,https://example.invalid/1325.jpg,Lab-Grown,IGI
LD1326,Cushion,2.56,G,VS2,Ideal,3368,https://www.bluenile.com/diamond-details/1326,https://example.invalid/1326.jpg,Lab-Grown,IGI
LD1327,Cushion,2.45,F,VVS1,Excellent,4256,https://www.bluenile.com/diamond-details/1327,https://example.invalid/1327.jpg,Lab-Grown,IGI
LD1328,Cushion,2.69,E,VVS2,Very Good,5370,https://www.bluenile.com/diamond-details/1328,https://example.invalid/1328.jpg,Lab-Grown,IGI
BN1329,Cushion,3.14,E,VS2,Ideal,46545,https://www.bluenile.com/diamond-details/1329,https://example.invalid/1329.jpg,Natural,GIA
BN1330,Cushion,3.12,H,VS1,Very Good,38037,https://www.bluenile.com/diamond-details/1330,https://example.invalid/1330.jpg,Natural,GIA
BN1331,Cushion,3.18,F,VS1,Ideal,43564,https://www.bluenile.com/diamond-details/1331,https://example.invalid/1331.jpg,Natural,GIA
BN1332,Cushion,3.19,E,VS2,Excellent,47401,https://www.bluenile.com/diamond-details/1332,https://example.invalid/1332.jpg,Natural,GIA
LD1333,Cushion,3.19,F,VS1,Very Good,6953,https://www.bluenile.com/diamond-details/1333,https://example.invalid/1333.jpg,Lab-Grown,IGI
LD1334,Cushion,3.09,G,VS2,Ideal,5389,https://www.bluenile.com/diamond-details/1334,https://example.invalid/1334.jpg,Lab-Grown,IGI
LD1335,Cushion,3.04,E,VVS1,Very Good,8510,https://www.bluenile.com/diamond-details/1335,https://example.invalid/1335.jpg,Lab-Grown,IGI
LD1336,Cushion,3.07,E,VVS1,Very Good,8169,https://www.bluenile.com/diamond-details/1336,https://example.invalid/1336.jpg,Lab-Grown,IGI
BN1337,Cushion,4.12,D,VS1,Ideal,91492,https://www.bluenile.com/diamond-details/1337,https://example.invalid/1337.jpg,Natural,GIA
BN1338,Cushion,4.2,G,VVS2,Ideal,76622,https://www.bluenile.com/diamond-details/1338,https://example.invalid/1338.jpg,Natural,GIA
BN1339,Cushion,4.06,D,VS1,Excellent,86721,https://www.bluenile.com/diamond-details/1339,https://example.invalid/1339.jpg,Natural,GIA
BN1340,Cushion,4.18,D,VS2,Ideal,81887,https://www.bluenile.com/diamond-details/1340,https://example.invalid/1340.jpg,Natural,GIA
LD1341,Cushion,4.26,D,VVS1,Very Good,15652,https://www.bluenile.com/diamond-details/1341,https://example.invalid/1341.jpg,Lab-Grown,IGI
LD1342,Cushion,3.86,G,VS1,Excellent,8629,https://www.bluenile.com/diamond-details/1342,https://example.invalid/1342.jpg,Lab-Grown,IGI
LD1343,Cushion,4.03,G,VS1,Ideal,8907,https://www.bluenile.com/diamond-details/1343,https://example.invalid/1343.jpg,Lab-Grown,IGI
LD1344,Cushion,4.06,H,VS2,Ideal,8175,https://www.bluenile.com/diamond-details/1344,https://example.invalid/1344.jpg,Lab-Grown,IGI
BN1345,Cushion,5.03,G,VVS1,Ideal,88502,https://www.bluenile.com/diamond-details/1345,https://example.invalid/1345.jpg,Natural,GIA
BN1346,Cushion,5.37,F,VS1,Very Good,98042,https://www.bluenile.com/diamond-details/1346,https://example.invalid/1346.jpg,Natural,GIA
BN1347,Cushion,5.02,F,VVS2,Excellent,91258,https://www.bluenile.com/diamond-details/1347,https://example.invalid/1347.jpg,Natural,GIA
BN1348,Cushion,4.86,D,VVS1,Ideal,124728,https://www.bluenile.com/diamond-details/1348,https://example.invalid/1348.jpg,Natural,GIA
LD1349,Cushion,5.15,D,VVS1,Very Good,18223,https://www.bluenile.com/diamond-details/1349,https://example.invalid/1349.jpg,Lab-Grown,IGI
LD1350,Cushion,4.83,G,VS2,Excellent,10729,https://www.bluenile.com/diamond-details/1350,https://example.invalid/1350.jpg,Lab-Grown,IGI
LD1351,Cushion,5.2,H,VS1,Excellent,11085,https://www.bluenile.com/diamond-details/1351,https://example.invalid/1351.jpg,Lab-Grown,IGI
LD1352,Cushion,5.25,D,VS1,Excellent,14864,https://www.bluenile.com/diamond-details/1352,https://example.invalid/1352.jpg,Lab-Grown,IGI
BN1353,Emerald,0.25,E,VS2,Very Good,452,https://www.bluenile.com/diamond-details/1353,https://example.invalid/1353.jpg,Natural,GIA
BN1354,Emerald,0.25,D,VS2,Very Good,460,https://www.bluenile.com/diamond-details/1354,https://example.invalid/1354.jpg,Natural,GIA
BN1355,Emerald,0.27,H,VVS2,Very Good,445,https://www.bluenile.com/diamond-details/1355,https://example.invalid/1355.jpg,Natural,GIA
BN1356,Emerald,0.25,F,VS2,Excellent,397,https://www.bluenile.com/diamond-details/1356,https://example.invalid/1356.jpg,Natural,GIA
LD1357,Emerald,0.26,D,VVS1,Very Good,97,https://www.bluenile.com/diamond-details/1357,https://example.invalid/1357.jpg,Lab-Grown,IGI
LD1358,Emerald,0.27,G,VVS1,Very Good,73,https://www.bluenile.com/diamond-details/1358,https://example.invalid/1358.jpg,Lab-Grown,IGI
LD1359,Emerald,0.26,H,VS1,Ideal,54,https://www.bluenile.com/diamond-details/1359,https://example.invalid/1359.jpg,Lab-Grown,IGI
LD1360,Emerald,0.26,D,VVS1,Very Good,90,https://www.bluenile.com/diamond-details/1360,https://example.invalid/1360.jpg,Lab-Grown,IGI
BN1361,Emerald,0.52,G,VS2,Excellent,1266,https://www.bluenile.com/diamond-details/1361,https://example.invalid/1361.jpg,Natural,GIA
BN1362,Emerald,0.49,D,VS1,Very Good,2110,https://www.bluenile.com/diamond-details/1362,https://example.invalid/1362.jpg,Natural,GIA
BN1363,Emerald,0.51,F,VS1,Excellent,1725,https://www.bluenile.com/diamond-details/1363,https://example.invalid/1363.jpg,Natural,GIA
BN1364,Emerald,0.49,D,VVS2,Excellent,2298,https://www.bluenile.com/diamond-details/1364,https://example.invalid/1364.jpg,Natural,GIA
LD1365,Emerald,0.53,E,VS2,Excellent,257,https://www.bluenile.com/diamond-details/1365,https://example.invalid/1365.jpg,Lab-Grown,IGI
LD1366,Emerald,0.53,G,VVS2,Very Good,284,https://www.bluenile.com/diamond-details/1366,https://example.invalid/1366.jpg,Lab-Grown,IGI
LD1367,Emerald,0.53,D,VS2,Excellent,262,https://www.bluenile.com/diamond-details/1367,https://example.invalid/1367.jpg,Lab-Grown,IGI
LD1368,Emerald,0.52,H,VS2,Ideal,185,https://www.bluenile.com/diamond-details/1368,https://example.invalid/1368.jpg,Lab-Grown,IGI
BN1369,Emerald,0.79,E,VVS1,Ideal,4460,https://www.bluenile.com/diamond-details/1369,https://example.invalid/1369.jpg,Natural,GIA
BN1370,Emerald,0.76,H,VVS1,Very Good,3005,https://www.bluenile.com/diamond-details/1370,https://example.invalid/1370.jpg,Natural,GIA
BN1371,Emerald,0.73,D,VVS2,Very Good,4459,https://www.bluenile.com/diamond-details/1371,https://example.invalid/1371.jpg,Natural,GIA
BN1372,Emerald,0.78,G,VVS1,Ideal,3369,https://www.bluenile.com/diamond-details/1372,https://example.invalid/1372.jpg,Natural,GIA
LD1373,Emerald,0.81,H,VVS2,Very Good,435,https://www.bluenile.com/diamond-details/1373,https://example.invalid/1373.jpg,Lab-Grown,IGI
LD1374,Emerald,0.78,H,VVS2,Excellent,469,https://www.bluenile.com/diamond-details/1374,https://example.invalid/1374.jpg,Lab-Grown,IGI
LD1375,Emerald,0.82,E,VVS2,Very Good,649,https://www.bluenile.com/diamond-details/1375,https://example.invalid/1375.jpg,Lab-Grown,IGI
LD1376,Emerald,0.76,G,VS1,Ideal,453,https://www.bluenile.com/diamond-details/1376,https://example.invalid/1376.jpg,Lab-Grown,IGI
BN1377,Emerald,1.05,F,VVS2,Very Good,7305,https://www.bluenile.com/diamond-details/1377,https://example.invalid/1377.jpg,Natural,GIA
BN1378,Emerald,1.04,D,VVS2,Excellent,9501,https://www.bluenile.com/diamond-details/1378,https://example.invalid/1378.jpg,Natural,GIA
BN1379,Emerald,0.98,H,VVS1,Very Good,5780,https://www.bluenile.com/diamond-details/1379,https://example.invalid/1379.jpg,Natural,GIA
BN1380,Emerald,1.03,G,VVS1,Excellent,6546,https://www.bluenile.com/diamond-details/1380,https://example.invalid/1380.jpg,Natural,GIA
LD1381,Emerald,1.08,E,VVS2,Excellent,1312,https://www.bluenile.com/diamond-details/1381,https://example.invalid/1381.jpg,Lab-Grown,IGI
LD1382,Emerald,1.01,E,VVS2,Very Good,1222,https://www.bluenile.com/diamond-details/1382,https://example.invalid/1382.jpg,Lab-Grown,IGI
LD1383,Emerald,1.06,G,VS2,Ideal,833,https://www.bluenile.com/diamond-details/1383,https://example.invalid/1383.jpg,Lab-Grown,IGI
LD1384,Emerald,1.06,E,VVS1,Ideal,1365,https://www.bluenile.com/diamond-details/1384,https://example.invalid/1384.jpg,Lab-Grown,IGI
BN1385,Emerald,1.34,H,VVS2,Excellent,7615,https://www.bluenile.com/diamond-details/1385,https://example.invalid/1385.jpg,Natural,GIA
